"Date","Time","Open","High","Low","Close","Up","Down"
04/14/2014,18:30,1759.50,1760.50,1759.25,1759.25,1637,959
04/14/2014,19:00,1759.25,1759.50,1758.75,1759.00,509,1911
04/14/2014,19:30,1759.00,1760.25,1759.00,1759.25,1660,783
04/14/2014,20:00,1759.25,1759.75,1759.00,1759.50,705,948
04/14/2014,20:30,1759.25,1759.50,1758.75,1758.75,718,1777
04/14/2014,21:00,1759.00,1759.50,1758.75,1759.25,785,645
04/14/2014,21:30,1759.25,1761.25,1759.00,1760.25,2466,1590
04/14/2014,22:00,1760.25,1760.25,1759.00,1759.25,759,1107
04/14/2014,22:30,1759.25,1759.50,1758.50,1759.25,514,1066
04/14/2014,23:00,1759.50,1760.00,1759.25,1759.50,655,265
04/14/2014,23:30,1759.50,1760.00,1759.00,1759.50,703,700
04/15/2014,00:00,1759.50,1760.25,1759.25,1759.50,617,706
04/15/2014,00:30,1759.75,1760.25,1759.50,1760.00,886,1002
04/15/2014,01:00,1760.00,1760.25,1759.75,1760.00,345,259
04/15/2014,01:30,1759.75,1760.00,1759.00,1759.25,335,1068
04/15/2014,02:00,1759.25,1760.25,1759.25,1759.75,1211,1134
04/15/2014,02:30,1759.75,1761.25,1759.50,1760.50,2444,2182
04/15/2014,03:00,1760.50,1761.25,1759.00,1759.75,1057,2503
04/15/2014,03:30,1759.50,1761.00,1757.75,1758.50,6956,10046
04/15/2014,04:00,1758.75,1760.00,1758.25,1759.25,5647,6413
04/15/2014,04:30,1759.50,1759.50,1756.75,1758.00,5689,8979
04/15/2014,05:00,1758.00,1759.25,1757.50,1757.75,3514,2550
04/15/2014,05:30,1757.75,1759.00,1756.50,1756.75,4282,5191
04/15/2014,06:00,1756.75,1758.50,1756.25,1758.25,4215,3740
04/15/2014,06:30,1758.25,1760.00,1757.75,1758.75,4996,3735
04/15/2014,07:00,1758.75,1761.25,1758.50,1760.00,5858,5251
04/15/2014,07:30,1760.00,1763.25,1759.00,1762.50,9603,4646
04/15/2014,08:00,1762.25,1763.75,1761.25,1763.25,11267,12143
04/15/2014,08:30,1763.25,1765.25,1763.00,1765.25,15323,15349
04/15/2014,09:00,1765.00,1765.00,1761.25,1763.00,13492,16728
04/15/2014,09:30,1762.75,1763.75,1761.75,1761.75,6519,6313
04/15/2014,10:00,1762.00,1771.75,1760.25,1769.75,140290,130637
04/15/2014,10:30,1769.50,1771.25,1757.50,1758.25,113079,137975
