"Date","Time","Open","High","Low","Close","Up","Down"
04/14/2014,18:30,1412.7,1414.6,1412.5,1414.2,358,283
04/14/2014,19:00,1414.2,1414.4,1413.3,1413.3,93,241
04/14/2014,19:30,1413.3,1413.4,1412.1,1413.3,316,305
04/14/2014,20:00,1413.3,1413.5,1411.8,1412.1,65,124
04/14/2014,20:30,1412.1,1413.0,1411.7,1412.3,410,321
04/14/2014,21:00,1412.3,1412.7,1411.8,1411.9,75,111
04/14/2014,21:30,1411.8,1412.7,1408.8,1409.8,873,1301
04/14/2014,22:00,1409.7,1410.3,1407.4,1408.0,754,1087
04/14/2014,22:30,1408.0,1408.7,1407.3,1408.2,757,692
04/14/2014,23:00,1408.2,1409.0,1408.2,1408.5,361,256
04/14/2014,23:30,1408.6,1408.6,1405.5,1405.8,1237,1621
04/15/2014,00:00,1405.8,1407.9,1405.4,1407.6,715,369
04/15/2014,00:30,1407.5,1407.5,1406.6,1406.8,143,206
04/15/2014,01:00,1406.9,1407.4,1406.2,1406.2,270,296
04/15/2014,01:30,1406.2,1406.8,1405.8,1406.6,442,349
04/15/2014,02:00,1406.7,1407.6,1406.2,1406.5,697,586
04/15/2014,02:30,1406.5,1407.4,1401.2,1401.6,2773,3942
04/15/2014,03:00,1401.6,1403.7,1398.1,1399.5,4197,4099
04/15/2014,03:30,1399.6,1400.9,1393.9,1394.1,2728,3910
04/15/2014,04:00,1394.2,1398.1,1393.7,1396.9,2533,1739
04/15/2014,04:30,1396.9,1398.4,1396.3,1397.2,1216,1321
04/15/2014,05:00,1397.2,1397.8,1395.7,1397.7,1020,822
04/15/2014,05:30,1397.5,1398.3,1396.4,1397.9,704,619
04/15/2014,06:00,1397.9,1398.5,1393.9,1394.9,1885,2740
04/15/2014,06:30,1394.9,1396.0,1393.4,1394.1,1505,1676
04/15/2014,07:00,1394.0,1394.6,1388.6,1389.7,3634,4882
04/15/2014,07:30,1389.6,1392.3,1389.3,1392.2,1747,1240
04/15/2014,08:00,1392.1,1392.1,1387.8,1388.7,2682,3252
04/15/2014,08:30,1388.7,1390.4,1370.6,1377.2,9778,12700
04/15/2014,09:00,1377.2,1381.1,1375.2,1380.4,6690,6139
04/15/2014,09:30,1380.3,1382.4,1379.3,1381.3,3980,3809
04/15/2014,10:00,1381.4,1382.4,1379.3,1381.0,3159,3699
04/15/2014,10:30,1381.1,1387.4,1380.6,1385.4,7293,6541
04/15/2014,11:00,1385.4,1389.6,1385.0,1388.6,5480,4368
04/15/2014,11:30,1388.6,1389.4,1386.6,1387.2,2329,2569
04/15/2014,12:00,1387.3,1390.6,1387.0,1389.5,2745,2080
