"Date","Time","Open","High","Low","Close","Up","Down"
04/14/2014,18:30,3.2585,3.2650,3.2585,3.2650,91,37
04/14/2014,19:00,3.2635,3.2650,3.2625,3.2650,71,51
04/14/2014,19:30,3.2650,3.2700,3.2635,3.2700,106,30
04/14/2014,20:00,3.2705,3.2715,3.2685,3.2685,56,30
04/14/2014,20:30,3.2685,3.2705,3.2685,3.2700,33,15
04/14/2014,21:00,3.2695,3.2730,3.2695,3.2710,121,108
04/14/2014,21:30,3.2715,3.2740,3.2670,3.2680,410,482
04/14/2014,22:00,3.2675,3.2705,3.2645,3.2655,202,287
04/14/2014,22:30,3.2655,3.2665,3.2500,3.2500,770,1208
04/14/2014,23:00,3.2510,3.2565,3.2485,3.2560,536,516
04/14/2014,23:30,3.2565,3.2595,3.2545,3.2560,476,397
04/15/2014,00:00,3.2560,3.2575,3.2555,3.2560,52,71
04/15/2014,00:30,3.2560,3.2565,3.2545,3.2545,53,131
04/15/2014,01:00,3.2545,3.2565,3.2540,3.2545,89,67
04/15/2014,01:30,3.2550,3.2550,3.2525,3.2540,150,154
04/15/2014,02:00,3.2540,3.2570,3.2535,3.2545,292,275
04/15/2014,02:30,3.2550,3.2620,3.2510,3.2590,822,801
04/15/2014,03:00,3.2590,3.2605,3.2565,3.2570,384,426
04/15/2014,03:30,3.2565,3.2605,3.2555,3.2580,170,188
04/15/2014,04:00,3.2580,3.2580,3.2525,3.2560,131,203
04/15/2014,04:30,3.2565,3.2650,3.2565,3.2640,526,231
04/15/2014,05:00,3.2630,3.2645,3.2600,3.2615,74,87
04/15/2014,05:30,3.2615,3.2635,3.2570,3.2590,151,167
04/15/2014,06:00,3.2585,3.2635,3.2580,3.2585,165,135
04/15/2014,06:30,3.2580,3.2640,3.2580,3.2620,157,144
04/15/2014,07:00,3.2625,3.2635,3.2565,3.2630,211,309
04/15/2014,07:30,3.2630,3.2685,3.2615,3.2650,454,397
04/15/2014,08:00,3.2640,3.2640,3.2445,3.2470,1183,1802
04/15/2014,08:30,3.2465,3.2465,3.1935,3.1950,4803,7962
04/15/2014,09:00,3.1950,3.2065,3.1925,3.2020,2332,1961
04/15/2014,09:30,3.2020,3.2150,3.1990,3.2060,2290,1993
04/15/2014,10:00,3.2055,3.2115,3.2055,3.2085,861,913
04/15/2014,10:30,3.2080,3.2145,3.2075,3.2085,1091,978
04/15/2014,11:00,3.2085,3.2190,3.2075,3.2170,1106,820
04/15/2014,11:30,3.2165,3.2210,3.2135,3.2150,1094,1083
04/15/2014,12:00,3.2150,3.2180,3.2095,3.2110,728,737
04/15/2014,12:30,3.2105,3.2160,3.2105,3.2130,341,363
