"Date","Time","Open","High","Low","Close","Up","Down"
04/14/2014,18:30,3569.00,3572.00,3568.50,3569.00,457,333
04/14/2014,19:00,3568.75,3568.75,3567.50,3567.75,99,136
04/14/2014,19:30,3568.00,3570.75,3568.00,3568.50,71,370
04/14/2014,20:00,3568.50,3570.00,3568.50,3569.00,103,94
04/14/2014,20:30,3568.75,3569.25,3568.25,3568.50,118,127
04/14/2014,21:00,3568.75,3570.00,3567.75,3569.25,67,181
04/14/2014,21:30,3569.50,3572.50,3568.75,3570.75,224,527
04/14/2014,22:00,3570.25,3570.75,3568.25,3569.00,192,219
04/14/2014,22:30,3568.75,3569.00,3567.25,3569.00,539,171
04/14/2014,23:00,3568.75,3570.25,3568.75,3569.75,199,38
04/14/2014,23:30,3570.00,3570.25,3568.75,3570.00,126,92
04/15/2014,00:00,3570.25,3571.50,3569.25,3569.75,150,156
04/15/2014,00:30,3570.00,3572.00,3569.75,3570.50,355,202
04/15/2014,01:00,3570.50,3571.25,3570.25,3570.50,83,70
04/15/2014,01:30,3570.50,3570.50,3568.00,3569.25,229,274
04/15/2014,02:00,3569.25,3571.00,3568.75,3569.75,87,159
04/15/2014,02:30,3569.75,3573.00,3569.25,3571.75,380,353
04/15/2014,03:00,3571.75,3573.75,3568.25,3570.00,175,386
04/15/2014,03:30,3570.00,3573.75,3566.00,3568.75,1133,1227
04/15/2014,04:00,3569.00,3572.25,3567.75,3570.00,1579,1247
04/15/2014,04:30,3570.25,3570.50,3563.75,3566.75,929,1529
04/15/2014,05:00,3566.75,3570.25,3566.00,3566.75,465,497
04/15/2014,05:30,3566.50,3569.25,3563.75,3564.00,516,534
04/15/2014,06:00,3563.75,3567.75,3563.25,3567.50,603,320
04/15/2014,06:30,3567.25,3571.75,3566.75,3569.00,972,1098
04/15/2014,07:00,3568.75,3574.75,3568.50,3572.00,963,658
04/15/2014,07:30,3572.00,3579.00,3570.25,3578.75,1306,1250
04/15/2014,08:00,3578.50,3579.75,3574.75,3579.25,1069,1582
04/15/2014,08:30,3579.00,3583.75,3574.00,3582.75,3407,3045
04/15/2014,09:00,3582.50,3582.50,3572.50,3577.75,3687,3831
04/15/2014,09:30,3577.50,3580.75,3574.25,3576.00,2077,1794
04/15/2014,10:00,3576.00,3596.50,3569.00,3584.25,30457,29311
04/15/2014,10:30,3584.00,3590.50,3550.00,3552.75,28472,31662
04/15/2014,11:00,3552.75,3560.00,3534.25,3538.25,28042,31677
04/15/2014,11:30,3538.00,3547.00,3526.50,3538.00,29965,30482
04/15/2014,12:00,3538.00,3548.75,3519.50,3524.50,19051,19891
04/15/2014,12:30,3524.25,3527.25,3513.50,3521.75,17410,16571
04/15/2014,13:00,3521.50,3523.00,3504.50,3505.50,11021,12693
04/15/2014,13:30,3505.50,3523.25,3502.75,3523.00,14476,11761
04/15/2014,14:00,3523.00,3545.00,3519.75,3542.25,18970,17132
04/15/2014,14:30,3542.25,3553.00,3540.25,3548.50,14754,14157
04/15/2014,15:00,3548.75,3576.50,3547.00,3567.50,19539,16459
04/15/2014,15:30,3567.25,3583.25,3558.75,3582.75,16971,14937
04/15/2014,16:00,3583.00,3583.75,3570.75,3575.75,17720,19004
04/15/2014,16:30,3575.75,3590.75,3573.50,3590.00,9069,6925
04/15/2014,17:00,3590.00,3599.00,3590.00,3596.75,2450,1469
04/15/2014,18:30,3595.75,3596.75,3594.00,3594.50,400,485
04/15/2014,19:00,3595.00,3595.50,3594.00,3594.25,92,162
04/15/2014,19:30,3594.00,3595.00,3593.50,3594.25,159,133
04/15/2014,20:00,3594.25,3595.00,3594.00,3594.00,147,186
04/15/2014,20:30,3594.00,3595.75,3593.50,3595.25,256,225
04/15/2014,21:00,3595.25,3597.25,3595.00,3595.75,308,333
04/15/2014,21:30,3595.00,3597.75,3594.50,3597.75,284,344
04/15/2014,22:00,3597.50,3602.25,3597.25,3602.00,593,513
04/15/2014,22:30,3602.00,3604.75,3601.25,3604.50,980,804
04/15/2014,23:00,3604.50,3607.00,3603.25,3605.50,493,413
04/15/2014,23:30,3605.50,3606.25,3604.25,3604.50,97,244
04/16/2014,00:00,3604.50,3605.00,3602.75,3603.75,100,115
04/16/2014,00:30,3603.75,3603.75,3602.25,3603.25,61,64
04/16/2014,01:00,3603.25,3605.25,3603.25,3604.75,127,102
04/16/2014,01:30,3605.00,3605.25,3602.00,3603.00,97,161
04/16/2014,02:00,3602.75,3607.50,3602.50,3606.50,466,252
04/16/2014,02:30,3606.50,3611.25,3603.75,3604.25,1697,1962
04/16/2014,03:00,3604.50,3608.50,3604.00,3605.50,677,638
04/16/2014,03:30,3605.50,3607.50,3602.75,3606.25,1685,2383
04/16/2014,04:00,3606.25,3607.00,3602.25,3605.00,1430,1845
04/16/2014,04:30,3604.50,3606.00,3603.25,3605.00,678,578
04/16/2014,05:00,3604.75,3609.00,3604.75,3608.25,620,469
04/16/2014,05:30,3608.25,3610.00,3607.25,3609.50,602,575
04/16/2014,06:00,3609.50,3611.00,3608.25,3609.25,728,587
04/16/2014,06:30,3609.25,3611.00,3608.50,3608.75,590,561
04/16/2014,07:00,3608.50,3609.00,3606.00,3607.75,943,708
04/16/2014,07:30,3607.50,3610.50,3606.25,3607.75,779,1015
04/16/2014,08:00,3608.00,3610.25,3604.25,3606.25,1044,1244
04/16/2014,08:30,3606.50,3608.50,3604.25,3608.00,2746,2314
04/16/2014,09:00,3607.75,3608.50,3600.25,3603.75,2218,2599
04/16/2014,09:30,3604.00,3611.00,3603.00,3608.00,5116,4092
04/16/2014,10:00,3608.00,3610.50,3583.25,3593.50,31380,33686
04/16/2014,10:30,3593.50,3604.75,3587.75,3595.25,19118,18678
04/16/2014,11:00,3595.25,3596.75,3578.75,3583.00,14535,16031
04/16/2014,11:30,3582.75,3598.00,3577.50,3596.75,10435,10789
04/16/2014,12:00,3597.00,3603.50,3591.00,3603.25,9015,8285
04/16/2014,12:30,3603.50,3616.50,3602.75,3614.00,11795,11719
04/16/2014,13:00,3614.00,3616.75,3599.25,3599.25,8365,11685
04/16/2014,13:30,3599.25,3606.50,3592.25,3603.00,12574,13343
04/16/2014,14:00,3603.25,3603.25,3593.00,3602.00,10113,11368
04/16/2014,14:30,3601.75,3604.25,3593.00,3599.50,6677,7618
04/16/2014,15:00,3599.25,3612.00,3599.00,3609.75,7969,7228
04/16/2014,15:30,3610.00,3613.75,3605.00,3612.50,5692,5667
04/16/2014,16:00,3612.50,3622.00,3610.00,3621.50,10673,10283
04/16/2014,16:30,3621.75,3622.50,3598.75,3601.50,8787,11056
04/16/2014,17:00,3600.00,3600.75,3593.75,3600.00,1344,1450
04/16/2014,18:30,3603.50,3604.75,3596.25,3598.00,310,686
04/16/2014,19:00,3598.00,3598.00,3593.50,3595.50,120,177
04/16/2014,19:30,3595.25,3597.75,3594.50,3597.25,76,77
04/16/2014,20:00,3597.25,3598.75,3597.00,3598.50,517,121
04/16/2014,20:30,3598.75,3600.75,3597.50,3599.50,390,356
04/16/2014,21:00,3599.50,3601.75,3599.50,3601.25,428,448
04/16/2014,21:30,3601.50,3602.50,3599.25,3600.50,209,194
04/16/2014,22:00,3601.00,3601.25,3596.75,3597.00,227,339
04/16/2014,22:30,3596.75,3598.00,3594.00,3595.50,289,478
04/16/2014,23:00,3595.25,3596.25,3592.75,3593.25,197,334
04/16/2014,23:30,3593.25,3594.25,3592.50,3592.50,113,158
04/17/2014,00:00,3592.50,3592.50,3590.50,3592.00,141,224
04/17/2014,00:30,3591.50,3594.75,3591.50,3593.75,97,69
04/17/2014,01:00,3594.00,3595.25,3593.75,3594.75,67,70
04/17/2014,01:30,3594.50,3598.00,3594.25,3596.25,198,137
04/17/2014,02:00,3596.25,3597.25,3594.75,3595.00,118,127
04/17/2014,02:30,3595.25,3596.25,3592.00,3595.75,608,427
04/17/2014,03:00,3595.50,3596.50,3594.50,3595.50,228,205
04/17/2014,03:30,3595.75,3596.25,3590.75,3594.50,838,978
04/17/2014,04:00,3594.75,3598.00,3591.00,3597.25,792,707
04/17/2014,04:30,3597.75,3598.50,3595.50,3598.00,584,656
04/17/2014,05:00,3598.25,3598.50,3595.50,3595.75,269,292
04/17/2014,05:30,3595.75,3598.50,3593.25,3597.25,426,503
04/17/2014,06:00,3597.25,3598.50,3595.00,3595.25,214,333
04/17/2014,06:30,3595.00,3595.50,3590.50,3593.75,459,689
04/17/2014,07:00,3593.75,3595.75,3592.25,3593.50,336,362
04/17/2014,07:30,3593.50,3598.75,3593.50,3598.25,336,222
04/17/2014,08:00,3598.25,3607.25,3598.25,3605.50,1860,1522
04/17/2014,08:30,3605.50,3611.75,3604.00,3609.50,2379,2132
04/17/2014,09:00,3609.25,3614.25,3609.25,3610.50,2663,2469
04/17/2014,09:30,3610.75,3612.50,3605.25,3610.00,4395,4299
04/17/2014,10:00,3610.00,3624.75,3600.00,3612.50,24088,25066
04/17/2014,10:30,3612.50,3631.00,3608.00,3630.50,18798,16428
04/17/2014,11:00,3630.50,3631.25,3616.25,3623.50,12678,14873
04/17/2014,11:30,3623.75,3628.00,3618.50,3625.75,7324,7494
04/17/2014,12:00,3626.00,3628.00,3611.00,3618.75,6777,8126
04/17/2014,12:30,3618.50,3624.50,3614.75,3619.75,4803,5003
04/17/2014,13:00,3619.50,3627.75,3614.50,3625.75,4614,3701
04/17/2014,13:30,3626.25,3633.75,3624.75,3632.50,5892,4911
04/17/2014,14:00,3632.75,3640.50,3632.00,3636.75,5593,5426
04/17/2014,14:30,3636.50,3638.00,3632.75,3636.25,3370,3902
04/17/2014,15:00,3636.25,3637.50,3630.00,3632.75,2983,3678
04/17/2014,15:30,3632.75,3637.50,3631.75,3634.25,3571,3242
04/17/2014,16:00,3634.00,3634.00,3622.75,3623.00,7903,11046
04/17/2014,16:30,3623.00,3623.50,3619.00,3621.25,3724,3759
04/17/2014,17:00,3623.25,3624.25,3622.25,3623.50,391,213
04/20/2014,18:30,3623.00,3628.50,3622.00,3628.25,304,195
04/20/2014,19:00,3628.25,3632.25,3628.00,3631.00,134,74
04/20/2014,19:30,3631.00,3633.50,3630.75,3630.75,97,111
04/20/2014,20:00,3631.00,3632.50,3629.50,3631.50,78,92
04/20/2014,20:30,3631.00,3632.50,3630.25,3631.00,122,113
04/20/2014,21:00,3631.25,3631.75,3629.75,3630.00,91,99
04/20/2014,21:30,3630.25,3630.75,3629.00,3629.00,90,162
04/20/2014,22:00,3629.50,3629.75,3627.00,3628.00,164,181
04/20/2014,22:30,3628.00,3631.75,3627.50,3630.50,346,145
04/20/2014,23:00,3630.75,3631.00,3628.00,3629.00,210,258
04/20/2014,23:30,3629.00,3630.25,3629.00,3629.50,54,28
04/21/2014,00:00,3629.75,3631.25,3629.25,3631.00,111,124
04/21/2014,00:30,3631.25,3632.25,3629.25,3629.50,87,87
04/21/2014,01:00,3629.50,3631.75,3629.50,3631.25,55,34
04/21/2014,01:30,3630.75,3632.50,3630.50,3631.50,63,112
04/21/2014,02:00,3631.75,3631.75,3631.00,3631.75,29,17
04/21/2014,02:30,3631.25,3631.50,3630.25,3630.75,23,56
04/21/2014,03:00,3630.75,3631.25,3630.25,3630.50,58,26
04/21/2014,03:30,3631.00,3631.25,3630.50,3630.50,46,25
04/21/2014,04:00,3630.75,3631.00,3630.00,3630.50,48,64
04/21/2014,04:30,3630.00,3630.75,3630.00,3630.50,44,34
04/21/2014,05:00,3630.50,3631.50,3630.50,3630.75,31,9
04/21/2014,05:30,3630.75,3630.75,3630.00,3630.25,7,26
04/21/2014,06:00,3630.25,3630.25,3627.75,3628.25,65,148
04/21/2014,06:30,3628.25,3628.50,3627.75,3628.25,17,48
04/21/2014,07:00,3628.25,3630.50,3628.00,3629.75,68,64
04/21/2014,07:30,3630.00,3631.50,3629.50,3630.75,187,118
04/21/2014,08:00,3630.75,3632.50,3630.50,3630.50,230,269
04/21/2014,08:30,3630.75,3633.75,3628.50,3629.00,723,972
04/21/2014,09:00,3629.00,3630.25,3627.75,3629.75,401,564
04/21/2014,09:30,3629.75,3632.25,3629.25,3631.50,879,709
04/21/2014,10:00,3631.25,3639.75,3624.00,3632.00,10979,11031
04/21/2014,10:30,3632.50,3644.50,3625.00,3626.75,9439,10863
04/21/2014,11:00,3626.75,3628.75,3614.75,3626.00,10116,9220
