"Date","Time","Open","High","Low","Close","Up","Down"
04/14/2014,18:30,127.90625,127.93750,127.87500,127.90625,135,300
04/14/2014,19:00,127.87500,127.90625,127.87500,127.90625,97,35
04/14/2014,19:30,127.90625,127.90625,127.87500,127.90625,25,7
04/14/2014,20:00,127.90625,127.93750,127.90625,127.93750,71,0
04/14/2014,20:30,127.93750,127.96875,127.90625,127.93750,62,467
04/14/2014,21:00,127.96875,127.96875,127.93750,127.93750,3,225
04/14/2014,21:30,127.90625,127.93750,127.90625,127.90625,7,126
04/14/2014,22:00,127.93750,127.96875,127.90625,127.90625,268,133
04/14/2014,22:30,127.93750,127.96875,127.93750,127.93750,354,201
04/14/2014,23:00,127.93750,127.96875,127.93750,127.93750,1,16
04/14/2014,23:30,127.93750,127.96875,127.93750,127.93750,1,41
04/15/2014,00:00,127.93750,127.93750,127.90625,127.93750,87,142
04/15/2014,00:30,127.93750,127.96875,127.93750,127.93750,20,33
04/15/2014,01:00,127.90625,127.93750,127.90625,127.90625,13,5
04/15/2014,01:30,127.93750,127.96875,127.87500,127.93750,169,341
04/15/2014,02:00,127.96875,128.00000,127.96875,128.00000,487,0
04/15/2014,02:30,128.00000,128.00000,127.93750,128.00000,213,271
04/15/2014,03:00,128.03125,128.06250,127.96875,128.06250,396,292
04/15/2014,03:30,128.06250,128.06250,127.96875,128.00000,477,1367
04/15/2014,04:00,128.00000,128.03125,127.93750,128.00000,572,1196
04/15/2014,04:30,128.00000,128.09375,127.96875,128.03125,1594,997
04/15/2014,05:00,128.03125,128.06250,127.93750,127.96875,689,1783
04/15/2014,05:30,127.96875,127.96875,127.87500,127.93750,381,1187
04/15/2014,06:00,127.93750,127.96875,127.84375,127.90625,480,1404
04/15/2014,06:30,127.90625,127.90625,127.81250,127.84375,186,1534
04/15/2014,07:00,127.84375,127.87500,127.81250,127.84375,657,593
04/15/2014,07:30,127.87500,127.87500,127.78125,127.81250,746,2250
04/15/2014,08:00,127.81250,127.81250,127.71875,127.75000,979,3848
04/15/2014,08:30,127.75000,127.87500,127.71875,127.84375,4695,2765
04/15/2014,09:00,127.84375,127.96875,127.75000,127.96875,11239,10217
04/15/2014,09:30,127.96875,128.06250,127.93750,128.00000,7663,5791
04/15/2014,10:00,128.00000,128.06250,127.78125,127.84375,8445,12582
04/15/2014,10:30,127.84375,128.31250,127.81250,128.28125,23457,11742
04/15/2014,11:00,128.28125,128.43750,128.18750,128.31250,16828,21134
04/15/2014,11:30,128.31250,128.50000,128.31250,128.37500,21022,18777
04/15/2014,12:00,128.37500,128.59375,128.28125,128.53125,13022,9696
04/15/2014,12:30,128.53125,128.68750,128.50000,128.59375,12099,7685
04/15/2014,13:00,128.59375,128.75000,128.59375,128.71875,10134,7644
04/15/2014,13:30,128.75000,128.78125,128.53125,128.53125,3311,8427
04/15/2014,14:00,128.53125,128.53125,128.34375,128.37500,3938,8478
04/15/2014,14:30,128.40625,128.46875,128.28125,128.43750,8716,6619
04/15/2014,15:00,128.46875,128.50000,128.18750,128.28125,6321,15400
04/15/2014,15:30,128.31250,128.40625,128.28125,128.31250,4707,5384
04/15/2014,16:00,128.28125,128.37500,128.25000,128.34375,4529,1727
04/15/2014,16:30,128.37500,128.37500,128.28125,128.28125,351,2207
04/15/2014,17:00,128.28125,128.28125,128.25000,128.28125,1389,2371
04/15/2014,18:30,128.28125,128.31250,128.25000,128.31250,161,147
04/15/2014,19:00,128.31250,128.34375,128.28125,128.31250,95,299
04/15/2014,19:30,128.31250,128.37500,128.31250,128.37500,351,7
04/15/2014,20:00,128.37500,128.40625,128.31250,128.31250,72,383
04/15/2014,20:30,128.34375,128.34375,128.28125,128.28125,19,454
04/15/2014,21:00,128.25000,128.31250,128.25000,128.31250,495,109
04/15/2014,21:30,128.31250,128.31250,128.28125,128.28125,188,58
04/15/2014,22:00,128.28125,128.31250,128.12500,128.18750,271,1318
04/15/2014,22:30,128.18750,128.18750,128.09375,128.15625,410,1025
04/15/2014,23:00,128.12500,128.15625,128.12500,128.12500,5,342
04/15/2014,23:30,128.12500,128.15625,128.12500,128.12500,2,236
04/16/2014,00:00,128.15625,128.21875,128.12500,128.15625,338,303
